platform,player_id,player_key,fp_player_id,canonical_player_id,fp_key,player,position,nfl_team,team_name,owner,eligible_positions
sleeper,4034,4034,16393.0,canon:christian mccaffrey::RB,christian-mccaffrey|RB|,Christian McCaffrey,RB,SF,DBoiii,DBoiii,"['RB', 'W/R/T']"
sleeper,4066,4066,16411.0,canon:evan engram::TE,evan-engram|TE|,Evan Engram,TE,DEN,DBoiii,DBoiii,"['TE', 'W/R/T']"
sleeper,4195,4195,,,,Jake Elliott,K,PHI,DBoiii,DBoiii,['K']
sleeper,5892,5892,18239.0,canon:david montgomery::RB,david-montgomery|RB|,David Montgomery,RB,DET,DBoiii,DBoiii,"['RB', 'W/R/T']"
sleeper,5947,5947,18598.0,canon:jakobi meyers::WR,jakobi-meyers|WR|,Jakobi Meyers,WR,LV,DBoiii,DBoiii,"['WR', 'W/R/T']"
sleeper,7547,7547,19799.0,canon:amon-ra st brown::WR,amon-ra-st-brown|WR|,Amon-Ra St. Brown,WR,DET,DBoiii,DBoiii,"['WR', 'W/R/T']"
sleeper,9488,9488,23070.0,canon:jaxon smith-njigba::WR,jaxon-smith-njigba|WR|,Jaxon Smith-Njigba,WR,SEA,DBoiii,DBoiii,"['WR', 'W/R/T']"
sleeper,9758,9758,23071.0,canon:cj stroud::QB,c-j-stroud|QB|,C.J. Stroud,QB,HOU,DBoiii,DBoiii,['QB']
sleeper,DET,DET,8100.0,canon:detroit lions::DST,detroit-lions|DST|,Detroit Lions,DEF,DET,DBoiii,DBoiii,['DEF']
sleeper,10222,10222,23020.0,canon:jayden reed::WR,jayden-reed|WR|,Jayden Reed,WR,GB,Str8 Outta Mar-a-Lago,TommyUggz,"['WR', 'W/R/T']"
sleeper,11533,11533,,,,Brandon Aubrey,K,DAL,Str8 Outta Mar-a-Lago,TommyUggz,['K']
sleeper,12530,12530,26034.0,canon:travis hunter::WR,travis-hunter|WR|,Travis Hunter,WR,JAX,Str8 Outta Mar-a-Lago,TommyUggz,"['DB', 'WR', 'W/R/T']"
sleeper,1466,1466,11594.0,canon:travis kelce::TE,travis-kelce|TE|,Travis Kelce,TE,KC,Str8 Outta Mar-a-Lago,TommyUggz,"['TE', 'W/R/T']"
sleeper,2216,2216,12119.0,canon:mike evans::WR,mike-evans|WR|,Mike Evans,WR,TB,Str8 Outta Mar-a-Lago,TommyUggz,"['WR', 'W/R/T']"
sleeper,4039,4039,16433.0,canon:cooper kupp::WR,cooper-kupp|WR|,Cooper Kupp,WR,SEA,Str8 Outta Mar-a-Lago,TommyUggz,"['WR', 'W/R/T']"
sleeper,4144,4144,16460.0,canon:jonnu smith::TE,jonnu-smith|TE|,Jonnu Smith,TE,PIT,Str8 Outta Mar-a-Lago,TommyUggz,"['TE', 'W/R/T']"
sleeper,5849,5849,18600.0,canon:kyler murray::QB,kyler-murray|QB|,Kyler Murray,QB,ARI,Str8 Outta Mar-a-Lago,TommyUggz,['QB']
sleeper,5859,5859,18218.0,canon:aj brown::WR,a-j-brown|WR|,A.J. Brown,WR,PHI,Str8 Outta Mar-a-Lago,TommyUggz,"['WR', 'W/R/T']"
