"player_name","pos","team","rank","ecr","sd","best","worst","player_positions","player_short_name","player_eligibility","player_page_url","player_filename","player_bye_week","player_owned_avg","player_ecr_delta","note","tag","recommendation","pos_rank","r2p_pts","year","pulled_at","source","player","fp_player_id","ros_points","ros_rank","ros_best_rank","ros_worst_rank","ros_avg_rank","ros_sd_rank","ros_ecr_vs_adp","fp_player_slug","team_clean","fp_key","ros_pos_rank"
"Spencer Shrader","K","IND",28,26.67,0.47,26,27,"K","S. Shrader","K","https://www.fantasypros.com/nfl/players/spencer-shrader.php","spencer-shrader.php","11",1.3,NA,NA,NA,NA,"K28","108.8",2025,"2025-09-09T18:09:55Z","fantasypros","Spencer Shrader",26763,NA,28,26,27,NA,0.47,NA,"spencer-shrader","ind","spencer-shrader|K|ind",28
"Nick Folk","K","NYJ",29,27,1.41,25,28,"K","N. Folk","K","https://www.fantasypros.com/nfl/players/nick-folk.php","nick-folk.php","9",2.2,NA,NA,NA,NA,"K29","107.1",2025,"2025-09-09T18:09:55Z","fantasypros","Nick Folk",9491,NA,29,25,28,NA,1.41,NA,"nick-folk","nyj","nick-folk|K|nyj",29
"Blake Grupe","K","NO",30,28,2.45,25,31,"K","B. Grupe","K","https://www.fantasypros.com/nfl/players/blake-grupe.php","blake-grupe.php","11",0.9,-5,NA,NA,NA,"K30","105.4",2025,"2025-09-09T18:09:55Z","fantasypros","Blake Grupe",25533,NA,30,25,31,NA,2.45,NA,"blake-grupe","no","blake-grupe|K|no",30
"Andy Borregales","K","NE",31,27,0,27,27,"K","A. Borregales","K","https://www.fantasypros.com/nfl/players/andres-borregales.php","andres-borregales.php","14",1,NA,NA,NA,NA,"K31","102.0",2025,"2025-09-09T18:09:55Z","fantasypros","Andy Borregales",27291,NA,31,27,27,NA,0,NA,"andy-borregales","ne","andy-borregales|K|ne",31
"Ryan Fitzgerald","K","CAR",32,29,0,29,29,"K","R. Fitzgerald","K","https://www.fantasypros.com/nfl/players/ryan-fitzgerald.php","ryan-fitzgerald.php","14",0.8,NA,NA,NA,NA,"K32","95.2",2025,"2025-09-09T18:09:55Z","fantasypros","Ryan Fitzgerald",27261,NA,32,29,29,NA,0,NA,"ryan-fitzgerald","car","ryan-fitzgerald|K|car",32
"Andre Szmyt","K","CLE",33,32,0,32,32,"K","A. Szmyt","K","https://www.fantasypros.com/nfl/players/andre-szmyt.php","andre-szmyt.php","9",0.7,NA,NA,NA,NA,"K33","30.6",2025,"2025-09-09T18:09:55Z","fantasypros","Andre Szmyt",25713,NA,33,32,32,NA,0,NA,"andre-szmyt","cle","andre-szmyt|K|cle",33
"Lamar Jackson","QB","BAL",1,1.4,0.49,1,2,"QB","L. Jackson","QB","https://www.fantasypros.com/nfl/players/lamar-jackson.php","lamar-jackson.php","7",99.8,1,NA,NA,NA,"QB1","379.1",2025,"2025-09-09T18:09:55Z","fantasypros","Lamar Jackson",17233,NA,1,1,2,NA,0.49,NA,"lamar-jackson","bal","lamar-jackson|QB|bal",1
"Josh Allen","QB","BUF",2,1.6,0.49,1,2,"QB","J. Allen","QB","https://www.fantasypros.com/nfl/players/josh-allen-qb.php","josh-allen-qb.php","7",99.8,-1,NA,NA,NA,"QB2","377.4",2025,"2025-09-09T18:09:55Z","fantasypros","Josh Allen",17298,NA,2,1,2,NA,0.49,NA,"josh-allen","buf","josh-allen|QB|buf",2
"Jayden Daniels","QB","WAS",3,3.4,0.49,3,4,"QB","J. Daniels","QB","https://www.fantasypros.com/nfl/players/jayden-daniels.php","jayden-daniels.php","12",99.7,NA,NA,NA,NA,"QB3","363.8",2025,"2025-09-09T18:09:55Z","fantasypros","Jayden Daniels",22902,NA,3,3,4,NA,0.49,NA,"jayden-daniels","was","jayden-daniels|QB|was",3
"Jalen Hurts","QB","PHI",4,4,0.63,3,5,"QB","J. Hurts","QB","https://www.fantasypros.com/nfl/players/jalen-hurts.php","jalen-hurts.php","9",99.7,NA,NA,NA,NA,"QB4","363.8",2025,"2025-09-09T18:09:55Z","fantasypros","Jalen Hurts",19275,NA,4,3,5,NA,0.63,NA,"jalen-hurts","phi","jalen-hurts|QB|phi",4
